FIPS,State,Area name,Population 2020,Population 2021
00000,US,United States,"331,449,281","331,893,745"
01000,AL,Alabama,"5,024,279","5,039,877"
01001,AL,Autauga County,"58,805","59,095"
01003,AL,Baldwin County,"231,767","239,294"
01005,AL,Barbour County,"25,223","24,964"
01007,AL,Bibb County,"22,293","22,477"
01009,AL,Blount County,"59,134","59,041"
01011,AL,Bullock County,"10,357","10,320"
01013,AL,Butler County,"19,051","18,884"
01015,AL,Calhoun County,"116,441","115,972"
01017,AL,Chambers County,"34,772","34,541"
01019,AL,Cherokee County,"24,971","24,996"
01021,AL,Chilton County,"45,014","45,274"
01023,AL,Choctaw County,"12,665","12,533"
01025,AL,Clarke County,"23,087","22,760"
01027,AL,Clay County,"14,236","14,190"
01029,AL,Cleburne County,"15,056","15,103"
01031,AL,Coffee County,"53,465","54,174"
01033,AL,Colbert County,"57,227","57,474"
01035,AL,Conecuh County,"11,597","11,328"
01037,AL,Coosa County,"10,387","10,450"
01039,AL,Covington County,"37,570","37,524"
01041,AL,Crenshaw County,"13,194","13,083"
01043,AL,Cullman County,"87,866","89,496"
01045,AL,Dale County,"49,326","49,342"
01047,AL,Dallas County,"38,462","37,619"
01049,AL,DeKalb County,"71,608","71,813"
01051,AL,Elmore County,"87,977","89,304"
01053,AL,Escambia County,"36,757","36,699"
01055,AL,Etowah County,"103,436","103,162"
01057,AL,Fayette County,"16,321","16,148"
01059,AL,Franklin County,"32,113","32,013"
01061,AL,Geneva County,"26,659","26,701"
01063,AL,Greene County,"7,730","7,629"
01065,AL,Hale County,"14,785","14,754"
01067,AL,Henry County,"17,146","17,459"
01069,AL,Houston County,"107,202","107,458"
01071,AL,Jackson County,"52,579","52,773"
01073,AL,Jefferson County,"674,721","667,820"
01075,AL,Lamar County,"13,972","13,689"
01077,AL,Lauderdale County,"93,564","94,043"
01079,AL,Lawrence County,"33,073","33,090"
01081,AL,Lee County,"174,241","177,218"
01083,AL,Limestone County,"103,570","107,517"
01085,AL,Lowndes County,"10,311","9,965"
01087,AL,Macon County,"19,532","18,895"
01089,AL,Madison County,"388,153","395,211"
01091,AL,Marengo County,"19,323","18,996"
01093,AL,Marion County,"29,341","29,246"
01095,AL,Marshall County,"97,612","98,228"
01097,AL,Mobile County,"414,809","413,073"
01099,AL,Monroe County,"19,772","19,648"
01101,AL,Montgomery County,"228,954","227,434"
01103,AL,Morgan County,"123,421","123,668"
01105,AL,Perry County,"8,511","8,355"
01107,AL,Pickens County,"19,123","18,801"
